Target,Rank,Feature,p-value
Volumrate_Tyskland_hourly,72,is_day ()_zeebrugge_y,0.00011581282883637659
Volumrate_Tyskland_hourly,73,relative_humidity_2m (%)_easington_y,0.00012012538912713825
Volumrate_Tyskland_hourly,74,is_day ()_dunkerque_y,0.00012197268449755696
Volumrate_Tyskland_hourly,75,temperature_2m (°C)_zeebrugge_x,0.0001233092046454711
Volumrate_Tyskland_hourly,76,rain (mm)_germany_x,0.00013931275761275362
Volumrate_Tyskland_hourly,77,hour_cos,0.0001463280445315544
Volumrate_Tyskland_hourly,78,DE_is_best,0.00018318013005161096
Volumrate_Tyskland_hourly,79,pressure_msl (hPa)_easington_x,0.000207615332263795
Volumrate_Tyskland_hourly,80,relative_humidity_2m (%)_zeebrugge_y,0.0002511733632265002
Volumrate_Tyskland_hourly,81,is_day ()_stfergus_x,0.00026681259639297646
Volumrate_Tyskland_hourly,82,temperature_2m (°C)_stfergus_y,0.0002872985190390202
Volumrate_Tyskland_hourly,83,apparent_temperature (°C)_easington_x,0.0003049259627190244
Volumrate_Tyskland_hourly,84,is_day ()_dunkerque_x,0.0003317292143057368
Volumrate_Tyskland_hourly,85,pressure_msl (hPa)_germany_y,0.0003339573562275818
Volumrate_Tyskland_hourly,86,direct_radiation (W/m²)_zeebrugge_y,0.00039299670156074266
Volumrate_Tyskland_hourly,87,is_day ()_germany_x,0.00043962784367753956
Volumrate_Tyskland_hourly,88,is_day ()_nybro,0.0004756571268852891
Volumrate_Tyskland_hourly,89,direct_radiation (W/m²)_stfergus_y,0.000587249356395192
Volumrate_Tyskland_hourly,90,direct_radiation (W/m²)_easington_y,0.0006439942281934624
Volumrate_Tyskland_hourly,91,direct_radiation (W/m²)_germany,0.0006761901461806588
Volumrate_Tyskland_hourly,92,temperature_2m (°C)_easington_y,0.0006914013059128282
Volumrate_Tyskland_hourly,93,apparent_temperature (°C)_nybro,0.000739125102636476
Volumrate_Tyskland_hourly,94,direct_radiation (W/m²)_zeebrugge_x,0.0007936431815927865
Volumrate_Tyskland_hourly,95,apparent_temperature (°C)_easington_y,0.0008719396711202103
Volumrate_Tyskland_hourly,96,is_day ()_germany_y,0.0010305641266485398
Volumrate_Tyskland_hourly,97,relative_humidity_2m (%)_germany_x,0.0010321550316666494
Volumrate_Tyskland_hourly,98,wind_direction_10m (°)_germany_y,0.001104512604793679
Volumrate_Tyskland_hourly,99,direct_radiation (W/m²)_easington_x,0.0011536579644655298
Volumrate_Tyskland_hourly,100,wind_speed_10m (km/h)_germany,0.0023247978471724225
Volumrate_Tyskland_hourly,101,pressure_msl (hPa)_stfergus_x,0.002572590126349852
Volumrate_Tyskland_hourly,102,direct_radiation (W/m²)_germany_y,0.0027164156821531376
Volumrate_Tyskland_hourly,103,pressure_msl (hPa)_germany_x,0.00306169780809961
Volumrate_Tyskland_hourly,104,wind_speed_10m (km/h)_dunkerque_x,0.004225598264016745
Volumrate_Tyskland_hourly,105,apparent_temperature (°C)_dunkerque_x,0.004326220486726889
Volumrate_Tyskland_hourly,106,dew_point_2m (°C)_germany_y,0.004354521690265244
Volumrate_Tyskland_hourly,107,wind_speed_10m (km/h)_germany_x,0.005536551669375429
Volumrate_Tyskland_hourly,108,apparent_temperature (°C)_zeebrugge_x,0.005833592176761175
Volumrate_Tyskland_hourly,109,dew_point_2m (°C)_stfergus_y,0.006264202563946904
Volumrate_Tyskland_hourly,110,relative_humidity_2m (%)_easington_x,0.0062973982332973156
Volumrate_Tyskland_hourly,111,cloud_cover (%)_easington_y,0.006903747758169699
Volumrate_Tyskland_hourly,112,dew_point_2m (°C)_zeebrugge_x,0.007360065199351855
Volumrate_Tyskland_hourly,113,direct_radiation (W/m²)_nybro,0.00820536755498294
Volumrate_Tyskland_hourly,114,rain (mm)_easington_y,0.009014301111157495
Volumrate_Tyskland_hourly,115,dew_point_2m (°C)_zeebrugge_y,0.00928746048228065
Volumrate_Tyskland_hourly,116,wind_speed_10m (km/h)_nybro,0.010883401763874617
Volumrate_Tyskland_hourly,117,DK_is_best,0.011023388257158505
Volumrate_Tyskland_hourly,118,cloud_cover (%)_nybro,0.011260680599699282
Volumrate_Tyskland_hourly,119,direct_radiation (W/m²)_germany_x,0.012683016736751707
Volumrate_Tyskland_hourly,120,pressure_msl (hPa)_nybro,0.013104484835127973
Volumrate_Tyskland_hourly,121,pressure_msl (hPa)_stfergus_y,0.014765269544432887
Volumrate_Tyskland_hourly,122,wind_direction_10m (°)_nybro,0.014799024725795308
Volumrate_Tyskland_hourly,123,wind_direction_10m (°)_germany,0.015894232239749295
Volumrate_Tyskland_hourly,124,dew_point_2m (°C)_germany,0.017035922104856535
Volumrate_Tyskland_hourly,125,dew_point_2m (°C)_easington_y,0.017187727762470018
Volumrate_Tyskland_hourly,126,dew_point_2m (°C)_nybro,0.018721256975656617
Volumrate_Tyskland_hourly,127,rain (mm)_dunkerque_x,0.019984658994707288
Volumrate_Tyskland_hourly,128,wind_speed_10m (km/h)_zeebrugge_y,0.022377082727394196
Volumrate_Tyskland_hourly,129,rain (mm)_germany_y,0.0228999081949157
Volumrate_Tyskland_hourly,130,relative_humidity_2m (%)_stfergus_y,0.026874469448490278
Volumrate_Tyskland_hourly,131,wind_direction_10m (°)_easington_y,0.029412181165141948
Volumrate_Tyskland_hourly,132,wind_direction_10m (°)_zeebrugge_y,0.030787418065184393
Volumrate_Tyskland_hourly,133,dew_point_2m (°C)_dunkerque_y,0.03129791383640756
Volumrate_Tyskland_hourly,134,wind_speed_10m (km/h)_easington_y,0.036010425793782774
Volumrate_Tyskland_hourly,135,wind_speed_10m (km/h)_stfergus_y,0.036040854397937444
Volumrate_Tyskland_hourly,136,cloud_cover (%)_zeebrugge_x,0.036173675135984774
Volumrate_Tyskland_hourly,137,temperature_2m (°C)_stfergus_x,0.039182545658730465
Volumrate_Tyskland_hourly,138,wind_speed_10m (km/h)_germany_y,0.04470968541409444
Volumrate_Tyskland_hourly,139,wind_direction_10m (°)_dunkerque_x,0.04887814981237134
