Target,Rank,Feature,p-value,F-statistic,Best Lag
Volumrate_Frankrike_hourly,1,Nominasjoner Frankrike [MSM3],0.0,396.80858985929615,4
Volumrate_Frankrike_hourly,2,rain (mm)_easington_y,1.1092626565836633e-88,12.16331588420663,46
Volumrate_Frankrike_hourly,3,Nominasjoner Tyskland [MSM3],7.287346464645167e-80,11.574599280724012,44
Volumrate_Frankrike_hourly,4,is_holiday,7.314810842168888e-37,23.83340082918834,8
Volumrate_Frankrike_hourly,5,rain (mm)_germany,1.7393544995610067e-28,10.3789920834358,17
Volumrate_Frankrike_hourly,6,Nominasjoner St. Fergus [MSM3],2.2860367764511384e-19,7.6317924211302115,17
Volumrate_Frankrike_hourly,7,shortwave_radiation (W/m²)_dunkerque_y,3.092748325255933e-16,3.8038318826610977,44
Volumrate_Frankrike_hourly,8,rain (mm)_stfergus_y,1.6121622186913876e-12,3.141522961134647,48
Volumrate_Frankrike_hourly,9,shortwave_radiation (W/m²)_easington_x,5.107653695389845e-12,3.2324569918550115,43
Volumrate_Frankrike_hourly,10,direct_radiation (W/m²)_stfergus_y,1.9901023557144025e-11,3.018143663700362,47
Volumrate_Frankrike_hourly,11,direct_radiation (W/m²)_dunkerque_y,2.183389629743606e-11,3.1707579207797534,42
Volumrate_Frankrike_hourly,12,wind_direction_10m (°)_stfergus_x,1.7578361013929987e-10,4.171968090368463,22
Volumrate_Frankrike_hourly,13,rain (mm)_zeebrugge_x,1.0453657431726607e-09,4.063623507604775,21
Volumrate_Frankrike_hourly,14,shortwave_radiation (W/m²)_stfergus_y,3.05182792245323e-09,2.698255063737798,47
Volumrate_Frankrike_hourly,15,rain (mm)_zeebrugge_y,2.8835502075961694e-08,4.077308504739795,17
Volumrate_Frankrike_hourly,16,direct_radiation (W/m²)_easington_x,1.6377164178488957e-07,2.537380993620602,42
Volumrate_Frankrike_hourly,17,apparent_temperature (°C)_zeebrugge_y,2.1277943907862208e-07,3.192245934774659,24
Volumrate_Frankrike_hourly,18,wind_direction_10m (°)_easington_y,2.1450462690448083e-07,2.451630061244125,45
Volumrate_Frankrike_hourly,19,wind_speed_10m (km/h)_zeebrugge_y,3.0073744052878833e-07,3.1521675770055357,24
Volumrate_Frankrike_hourly,20,apparent_temperature (°C)_germany_x,7.199056478026941e-07,2.3095003538391405,48
Volumrate_Frankrike_hourly,21,wind_speed_10m (km/h)_zeebrugge_x,9.877346222425853e-07,2.3221015452791596,46
Volumrate_Frankrike_hourly,22,shortwave_radiation (W/m²)_stfergus_x,1.1625855627232647e-06,3.3320271445668204,19
