Target,Rank,Feature,p-value
Volumrate_Belgia_hourly,76,shortwave_radiation (W/m²)_germany_y,0.014768389212279754
Volumrate_Belgia_hourly,77,relative_humidity_2m (%)_easington_x,0.014807970482561328
Volumrate_Belgia_hourly,78,temperature_2m (°C)_easington_x,0.015376741271543547
Volumrate_Belgia_hourly,79,direct_radiation (W/m²)_zeebrugge_x,0.015506644981557335
Volumrate_Belgia_hourly,80,is_holiday,0.016622015225009855
Volumrate_Belgia_hourly,81,is_day ()_nybro,0.020019319055227816
Volumrate_Belgia_hourly,82,dew_point_2m (°C)_germany_x,0.021646821837006502
Volumrate_Belgia_hourly,83,dew_point_2m (°C)_dunkerque_x,0.021998678311839454
Volumrate_Belgia_hourly,84,wind_direction_10m (°)_germany_x,0.02285963202532466
Volumrate_Belgia_hourly,85,shortwave_radiation (W/m²)_zeebrugge_x,0.022964385107616704
Volumrate_Belgia_hourly,86,wind_speed_10m (km/h)_germany_x,0.02313110642048668
Volumrate_Belgia_hourly,87,wind_direction_10m (°)_easington_x,0.024490462862936116
Volumrate_Belgia_hourly,88,direct_radiation (W/m²)_zeebrugge_y,0.025533754550509304
Volumrate_Belgia_hourly,89,pressure_msl (hPa)_stfergus_x,0.025551214758878605
Volumrate_Belgia_hourly,90,pressure_msl (hPa)_nybro,0.025575130852857203
Volumrate_Belgia_hourly,91,rain (mm)_dunkerque_y,0.02738315116078813
Volumrate_Belgia_hourly,92,relative_humidity_2m (%)_zeebrugge_y,0.029433699989019964
Volumrate_Belgia_hourly,93,shortwave_radiation (W/m²)_stfergus_x,0.03207552524241365
Volumrate_Belgia_hourly,94,is_day ()_zeebrugge_x,0.03286755240818465
Volumrate_Belgia_hourly,95,shortwave_radiation (W/m²)_easington_x,0.033496497269208045
Volumrate_Belgia_hourly,96,dew_point_2m (°C)_easington_x,0.034511591820144356
Volumrate_Belgia_hourly,97,wind_direction_10m (°)_easington_y,0.03488920950302505
Volumrate_Belgia_hourly,98,wind_direction_10m (°)_germany,0.03817841405872074
Volumrate_Belgia_hourly,99,shortwave_radiation (W/m²)_zeebrugge_y,0.04181722820841096
Volumrate_Belgia_hourly,100,is_day ()_stfergus_x,0.04227569530545467
Volumrate_Belgia_hourly,101,direct_radiation (W/m²)_germany_x,0.044493341131960934
Volumrate_Belgia_hourly,102,apparent_temperature (°C)_nybro,0.04519828755691451
Volumrate_Belgia_hourly,103,temperature_2m (°C)_nybro,0.046939194072609644
Volumrate_Belgia_hourly,104,rain (mm)_zeebrugge_y,0.048717352786811975
