Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Frankrike_hourly,500,72,0.001,32,41.410645,3.1251411,6.435110296743172,0.13534237,0.31131202,837.8723,9.546385,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.001,32,60.374332,3.844783,7.770092176285846,0.05929543,0.28904784,3.5634525,3.1686623,9.215226,131.04031
Volumrate_Easington_hourly,500,72,0.0001,16,138.29768,7.833724,11.760003559345563,0.25958413,0.6527511,36.273785,24.841946,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.0001,16,15.565925,1.9773134,3.945367491688222,1.1339406,0.2656209,165.94376,57.559032,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.0001,16,0.6845205,0.53147906,0.8273575303440271,0.019139746,-0.37656713,1.2501479,1.2377456,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.0001,16,41.496643,3.2082083,6.441788809516053,0.13548283,0.3098818,865.7075,9.739169,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.0001,16,63.20496,3.8082805,7.950154707261033,0.060669534,0.25571513,3.5772927,3.141661,9.215226,131.04031
Volumrate_Easington_hourly,500,72,0.0001,32,136.82597,7.6917143,11.697263505228143,0.25819924,0.65644634,33.346287,25.234138,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.0001,32,15.407702,1.9543618,3.9252646338793373,1.1281627,0.2730856,171.47873,55.996906,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.0001,32,0.7725316,0.55081236,0.8789377842650204,0.02033298,-0.5535569,1.2954162,1.284523,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.0001,32,41.19103,2.9969096,6.418023729698318,0.13498302,0.3149644,854.60767,9.297222,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.0001,32,65.480705,3.8219855,8.092014907378166,0.061752107,0.22891653,3.5771422,3.167744,9.215226,131.04031
Volumrate_Easington_hourly,500,24,5e-05,16,33.94942,3.6831524,5.826613161087243,0.12893093,0.9137806,16.122341,16.445004,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,16,5.2749033,1.437409,2.296715763307318,0.6124493,0.7988879,105.011246,62.19475,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,16,0.29822415,0.29124704,0.5460990305196403,0.012636049,0.39372796,0.6891436,0.6828348,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,16,8.186747,1.2208409,2.861249132335393,0.06014524,0.8637583,278.26038,5.972782,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,16,20.505949,1.9283637,4.528349480813704,0.03456392,0.75793725,1.7858738,1.6810884,9.203987,131.01376
Volumrate_Easington_hourly,500,24,5e-05,32,34.42549,3.7893636,5.867324035112413,0.12983178,0.91257155,16.404644,16.518139,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,32,5.1414247,1.3886156,2.267470982375366,0.6046508,0.80397695,98.5461,57.598763,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,32,0.3559123,0.33076513,0.5965838566070122,0.013804205,0.27645135,0.7803962,0.77525425,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,32,8.371443,1.2591542,2.8933445689720063,0.060819905,0.8606847,259.26498,6.037434,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,32,24.492159,2.1151927,4.948955333175933,0.037774317,0.710882,1.9602401,1.8468138,9.203987,131.01376
Volumrate_Easington_hourly,500,48,5e-05,16,83.81672,5.830988,9.155147134545452,0.20232758,0.7884257,25.7014,21.12183,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,5e-05,16,10.914089,1.8396592,3.3036478630266966,0.9136113,0.54079694,141.37291,70.19464,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,5e-05,16,0.48583287,0.4028334,0.6970171231803142,0.016126722,0.019288361,0.9491708,0.9431351,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,5e-05,16,24.573906,1.9751208,4.9572074744581975,0.10422985,0.5913172,658.939,7.2846003,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,5e-05,16,50.766598,3.051504,7.125068262676698,0.054379206,0.40176767,2.90392,2.5716965,9.212004,131.0256
Volumrate_Easington_hourly,500,48,5e-05,32,81.51697,5.7793713,9.028674751780436,0.19953255,0.7942308,25.120943,20.773415,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,5e-05,32,10.538023,1.7152027,3.246232122784062,0.8977332,0.55661964,143.38445,58.896168,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,5e-05,32,0.49685752,0.3911674,0.7048812126295834,0.01630867,-0.0029661655,0.9226681,0.91655356,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,5e-05,32,25.109428,2.1672978,5.0109308921358835,0.105359435,0.58241105,668.822,7.7227297,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,5e-05,32,52.799786,3.0480204,7.266346097868837,0.05545745,0.37780863,2.9048128,2.5818753,9.212004,131.0256
Volumrate_Easington_hourly,500,72,5e-05,16,137.13275,7.855807,11.710369399162596,0.25848854,0.6556761,34.382103,25.368885,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,5e-05,16,15.736294,1.9991384,3.966899770945141,1.1401292,0.25758308,171.2781,58.887333,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,5e-05,16,0.69533664,0.47586042,0.833868478766966,0.019290367,-0.3983183,1.1203169,1.1147101,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,5e-05,16,42.49004,3.2637851,6.518438449923375,0.13709493,0.29336095,843.7396,9.890504,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,5e-05,16,64.87805,3.8369138,8.054691288796393,0.06146728,0.23601323,3.6006234,3.171199,9.215226,131.04031
Volumrate_Easington_hourly,500,72,5e-05,32,137.38191,7.81341,11.721003038624524,0.25872323,0.6550505,35.06294,25.46775,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,5e-05,32,15.837908,2.015693,3.9796868961185496,1.1438043,0.25278908,172.79933,59.994984,4.603915,3.4793425
