Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,72,0.0001,16,140.61255,7.888211,11.858016226507914,0.2617476,0.6469388,32.412807,25.876354,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.0001,16,16.65446,2.113193,4.080987736686111,1.1729193,0.21426523,153.35957,70.9384,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.0001,16,0.69353986,0.5429043,0.8327904045222783,0.019265426,-0.39470494,1.2769594,1.2635651,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.0001,16,40.4184,2.9773076,6.357546681762629,0.13371107,0.3278138,827.3427,9.158628,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.0001,16,69.3281,3.9422734,8.326349867247737,0.06354037,0.18361062,3.6657941,3.275319,9.215226,131.04031
Volumrate_Easington_hourly,500,72,0.0001,32,137.33725,7.801753,11.719097651093252,0.2586812,0.65516263,32.18121,24.887957,19.956621,45.303246
Volumrate_St_Fergus_hourly,500,72,0.0001,32,15.662195,2.0183246,3.9575491412853583,1.1374416,0.26107895,154.62764,63.99663,4.603915,3.4793425
Volumrate_Belgia_hourly,500,72,0.0001,32,0.6913416,0.44474217,0.8314695297847172,0.019234871,-0.39028418,1.0482107,1.044381,0.70517117,43.227196
Volumrate_Frankrike_hourly,500,72,0.0001,32,41.22632,3.2116446,6.420772411429563,0.13504083,0.3143775,848.3449,9.696873,7.7543383,47.546898
Volumrate_Tyskland_hourly,500,72,0.0001,32,67.30018,3.8677595,8.20366860178006,0.06260416,0.20749092,3.610685,3.2102923,9.215226,131.04031
Volumrate_Easington_hourly,500,48,0.0001,16,36.451256,3.8251524,6.037487540222327,0.1334277,0.90798795,16.11219,17.764408,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.0001,16,4.7829385,1.3312792,2.1869930224802268,0.6048047,0.798761,97.42071,56.87503,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.0001,16,0.31142515,0.30752853,0.5580547907157194,0.012911583,0.37135112,0.72476107,0.7215158,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.0001,16,7.2476244,1.191711,2.692141229073585,0.056604747,0.8794665,269.91998,5.823137,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.0001,16,24.506891,2.0727289,4.950443540796153,0.037782263,0.7112114,1.9429494,1.8320712,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.0001,32,36.2533,3.8575923,6.0210713094211705,0.1330649,0.9084876,16.260044,17.793343,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.0001,32,4.7866077,1.2914897,2.1878317445154623,0.60503656,0.79860663,99.12651,51.242344,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.0001,32,0.29584584,0.29474616,0.5439171227319339,0.012584483,0.40279984,0.69605106,0.69109046,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.0001,32,7.418842,1.2212094,2.723755098909715,0.057269458,0.876619,267.68298,5.864231,7.754323,47.560345
