Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,nRMSE,R2,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Belgia_hourly,500,24,0.0001,16,0.6025925,0.498694,0.776268334963087,0.01796188,-0.22503495,1.1681838,1.1678263,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,10.24109,1.703853,3.200170279979148,0.06726957,0.82957053,306.46414,6.9535003,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,31.647875,2.8418975,5.625644392614354,0.04293934,0.6264123,2.568729,2.3938098,9.203987,131.01376
Volumrate_Easington_hourly,500,24,0.0001,32,44.688904,4.4881916,6.6849759766654175,0.14792474,0.8865062,18.830523,18.357471,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,5.610051,1.4649726,2.368554655288818,0.63160604,0.78611,109.40654,61.77507,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,32,0.95103943,0.70148444,0.9752125068308491,0.022565199,-0.93340695,1.6455495,1.6211113,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,32,10.308691,1.5565301,3.2107150332566534,0.067491226,0.82844555,300.60236,6.637714,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,32,31.501238,2.7186568,5.612596357236345,0.042839747,0.62814325,2.4865272,2.307261,9.203987,131.01376
Volumrate_Easington_hourly,500,48,0.01,16,115.97388,7.80523,10.769116813978991,0.23799607,0.707253,29.324936,22.977709,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,16,27.259212,3.0607092,5.22103557676985,1.4438576,-0.14691317,176.04439,87.91838,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.01,16,5.0423355,1.5935313,2.2455145312943103,0.051953945,-9.1785555,3.7029333,3.7802973,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,16,45.75781,4.2205596,6.7644518392330015,0.14222883,0.23901266,855.4101,11.588755,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,16,112.950935,7.3359175,10.627837755807601,0.08111268,-0.33101106,6.315168,5.775765,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.01,32,117.37733,7.7136693,10.834081731523536,0.2394318,0.7037103,31.102085,21.9842,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,32,14.063696,1.9993714,3.7501594509557554,1.0370924,0.40827936,126.880905,66.5835,4.875188,3.6160321
Volumrate_Belgia_hourly,500,48,0.01,32,2.0485528,1.0479277,1.4312766160114325,0.03311511,-3.1352482,2.4496186,2.4138713,0.7038381,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,32,31.48292,2.9386213,5.610964239147596,0.11797569,0.47641498,744.2408,9.337636,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,32,138.15121,8.734921,11.75377448310156,0.08970594,-0.62797046,7.4313664,6.728381,9.212004,131.0256
Volumrate_Easington_hourly,500,48,0.001,16,105.92974,7.195726,10.292217492152103,0.22745667,0.7326069,26.6033,25.899643,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.001,16,13.98085,1.9867933,3.739097514070282,1.0340333,0.41176498,146.50249,66.407295,4.875188,3.6160321
