Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Belgia_hourly,500,24,0.001,16,4.9818373,1.2729101,2.232002973260574,2.9556062,3.0773628,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,73.17917,4.060713,8.554482374823849,254411170.0,11.238979,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,146.89378,8.02638,12.119974569665397,7.080458,6.2844143,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,226.13524,11.723014,15.037793676183382,43.23953,32.36012,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,28.517303,3.0861652,5.340159498254418,156974690.0,72.932495,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,2.2182252,1.0671668,1.4893707532738105,2.4904695,2.4750438,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,68.68374,3.7398024,8.287565306439285,255109730.0,10.416292,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,190.6075,9.908081,13.806067440402618,8.576855,7.553868,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,16,241.70578,12.05703,15.546889722040769,44.374416,32.8441,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,16,30.97677,3.8878813,5.565677892314734,191340500.0,86.116844,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,16,4.4733562,1.4676005,2.1150310274197497,3.4202714,3.416067,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,16,69.23719,3.9464762,8.320888789461257,250495550.0,10.800185,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,16,216.37401,10.823439,14.709656970123774,9.324802,8.22352,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,32,220.36871,11.419751,14.844821096224308,44.613132,31.64623,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,32,29.668585,3.4299684,5.446887627224229,180853600.0,75.85844,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,32,5.9439473,1.761079,2.4380211884263976,4.0834417,4.225603,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,32,80.61413,5.341791,8.978537080883108,243706580.0,14.180535,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,32,129.40631,7.1593347,11.375689475155177,6.398634,5.6290503,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,16,230.0314,11.571963,15.166786165430388,44.12996,32.00125,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,16,39.461033,5.0107,6.28180172143563,264156220.0,97.7829,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,16,3.2402513,1.2027647,1.800069804957329,2.797973,2.848911,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,16,72.86795,4.709413,8.536272631509208,252069700.0,12.353502,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,16,205.67279,10.513479,14.341296682216143,9.056044,7.9795732,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,32,255.63687,12.891954,15.988648202330634,48.335922,35.167892,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,32,39.163704,4.358153,6.258091076235391,223464000.0,86.696106,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,32,3.060584,1.38983,1.7494525052993979,3.2361171,3.2040517,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,32,68.447464,5.5044346,8.273298253372582,222512600.0,14.310233,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,32,254.57109,12.535088,15.955284099577863,10.554247,9.402893,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,16,326.2172,14.18409,18.061483704378098,52.77912,37.179306,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,16,35.075695,4.2877126,5.922473726226381,232132000.0,88.68539,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,16,5.497659,1.9461352,2.3447087679262815,4.5046215,4.640308,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,16,91.60387,6.6427517,9.570990887946161,227780620.0,17.068716,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,16,141.09337,7.938153,11.87827296075795,6.976374,6.181704,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,32,313.45877,14.151223,17.704766893465532,52.73909,37.853016,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,32,34.259605,3.7750297,5.853170543194077,191730620.0,79.02228,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,32,2.6371279,1.2374928,1.6239236054327613,2.8874488,2.8239675,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,32,81.21526,4.4677505,9.011951140940525,266395740.0,11.472225,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00025,32,228.72627,11.294476,15.123699037702641,9.680623,8.512706,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,16,314.14587,14.55906,17.724160742428328,58.279755,37.9402,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,16,44.533066,4.5812173,6.673309958026709,219721200.0,87.69434,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0001,16,3.4920185,1.4230436,1.868694319900239,3.3133042,3.3187628,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0001,16,77.492935,5.402559,8.80300716690973,239455420.0,13.8927145,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0001,16,208.1637,10.397982,14.427879133436852,8.981258,7.881581,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0001,32,346.8932,15.291161,18.62506881803561,59.812897,39.778503,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0001,32,45.837593,4.5891523,6.770346599592467,251504180.0,86.20019,5.1213937,3.7500505
