Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Belgia_hourly,500,24,0.0025,32,33.06961,4.5920486,5.750618279429015,10.641007,10.619075,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0025,32,143.82018,8.372558,11.992504958135244,254951460.0,18.43839,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0025,32,920.78564,24.084229,30.344449979053007,19.19242,16.6402,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,16,501.61984,19.343176,22.396871266525082,65.12691,49.987568,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,31.781378,4.0874505,5.6374974760400915,177666080.0,96.528595,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,27.909412,4.392293,5.282935962514897,10.171773,10.2977915,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,111.41775,7.8319535,10.555460553550404,232817730.0,19.101713,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,740.07446,21.77299,27.20430963819198,17.577284,15.514967,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,652.4032,21.550692,25.542184680292866,70.200905,55.29625,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,37.736,4.093922,6.142963459197454,72724160.0,125.85157,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,31.562475,4.628104,5.61804905678722,10.709781,10.722484,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,143.18483,8.583492,11.965986366025748,205903340.0,19.356148,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,1099.816,25.775091,33.163474486836606,20.575256,17.467243,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,16,585.2614,20.918764,24.192176701864152,78.69542,52.32173,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,16,47.403492,6.138784,6.885019388053816,302763680.0,108.89007,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,16,59.553528,5.9410005,7.717093224267233,13.770813,13.326587,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,16,153.28923,9.04579,12.381002800527899,228821470.0,20.989576,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,16,1122.7782,25.359144,33.507882628453075,20.071657,17.466255,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00075,32,711.89325,23.09974,26.68132773142519,81.32167,57.045944,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00075,32,51.81798,6.3161936,7.198470790381156,321408700.0,110.55624,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00075,32,49.333546,5.2978616,7.023784285185192,12.244324,12.774709,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00075,32,139.67073,8.91964,11.818237203188144,230058540.0,21.672604,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.00075,32,896.79724,22.906002,29.94657311297801,18.23573,16.543896,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,16,683.6954,21.789385,26.14756917067352,80.3168,52.162697,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,16,35.66582,4.5104146,5.97208682752013,165976700.0,103.45291,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,16,34.946835,4.7819276,5.911584776031634,11.073566,11.203842,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,16,122.44674,8.241752,11.065565471171247,243516980.0,19.113974,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,16,777.71027,21.875717,27.887457146776242,17.548466,15.3898,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.0005,32,483.1908,17.988918,21.981601304237085,61.699306,45.839767,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.0005,32,36.82877,3.954179,6.068671162934922,79454260.0,113.44702,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.0005,32,30.208155,4.5008225,5.496194563363339,10.4440365,10.306822,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.0005,32,142.63847,7.961047,11.943134995081575,259018980.0,18.167583,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.0005,32,755.7317,21.52811,27.490574556620764,17.532724,15.071207,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.00025,16,817.4008,24.985016,28.590222417307174,90.29515,62.7036,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.00025,16,34.062485,3.9624755,5.836307457734808,108643864.0,113.32947,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.00025,16,45.824623,5.588189,6.769388680516887,12.925,13.287553,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.00025,16,161.177,9.391005,12.695550478538731,242057730.0,21.737476,7.751767,47.57233
